"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1953",6672.51,6455.62,6121.63,5741.19,5357.17,4996.84,4662.13,4351.74,4064.9,3784.06,3525.17,3288.35,3074.6,2878.16,2684.43,2515.86,2362.5,2224.86,2101.26,1988.68,1884.3,1786.21,1693.33,1605.11,1521.26,1441.6,1365.95,1294.19,1226.12,1161.59,1100.42,1042.45,987.506,935.445,886.119,839.394,794.939,753.041,713.352,675.754,640.139,606.401,574.442,544.165,515.482,488.309,462.568,438.184,415.086,393.207,372.482,352.851,334.256,316.642,299.202,283.474,268.572,254.454,241.078,228.406,4116.57
"1954",6417.42,6321.75,6112.51,5796.21,5435.76,5070.27,4722.56,4393.78,4086.71,3805.44,3535.49,3290.82,3069.4,2870.45,2687.75,2507.39,2350.34,2207.34,2078.92,1963.55,1858.42,1760.95,1669.33,1582.57,1500.15,1421.81,1347.37,1276.69,1209.62,1146.01,1085.71,1028.54,974.356,923.005,874.347,828.246,784.573,743.023,703.863,666.766,631.624,598.335,566.801,536.929,508.63,481.82,456.421,432.362,409.57,387.981,367.53,348.159,329.81,312.429,295.966,279.664,264.963,251.035,237.839,225.336,4061.25
"1955",6072.13,6080.07,5984.09,5785.93,5486.19,5142.21,4786.59,4439.99,4109.51,3804.89,3532.72,3278.05,3050.68,2846.24,2662.76,2494.11,2327.33,2181.94,2049.45,1930.39,1823.37,1725.84,1635.4,1550.38,1469.85,1393.33,1320.6,1251.48,1185.84,1123.56,1064.48,1008.47,955.38,905.055,857.36,812.165,769.345,728.78,690.186,653.811,619.353,586.711,555.79,526.499,498.751,472.464,447.561,423.968,401.619,380.449,360.394,341.398,323.404,306.36,290.215,274.922,259.779,246.124,233.186,220.928,3981.81
"1956",5675.92,5752.93,5756.39,5665.44,5477.57,5191.56,4858.13,4507.44,4163.95,3840.14,3547.34,3290.37,3052.77,2841.68,2652.04,2481.72,2324.99,2169.82,2034.48,1911.08,1800.14,1700.42,1609.53,1525.23,1445.97,1370.89,1299.55,1231.72,1167.27,1106.06,1047.97,992.876,940.639,891.12,844.182,799.698,757.545,717.605,679.77,643.772,609.844,577.704,547.257,518.416,491.095,465.213,440.694,417.465,395.459,374.613,354.866,336.161,318.442,301.658,285.76,270.7,256.436,242.311,229.574,217.506,3920.13
"1957",5322.02,5377.55,5444.31,5447.48,5360.99,5179.6,4896.28,4557.78,4200.82,3858.09,3544.83,3269.34,3031.87,2813.97,2620.67,2446.81,2290.41,2146.25,2003.34,1878.6,1764.79,1662.46,1570.46,1486.59,1408.79,1335.62,1266.3,1200.43,1137.79,1078.27,1021.74,968.089,917.201,868.951,823.211,779.854,738.762,699.823,662.928,627.977,594.723,563.381,533.69,505.564,478.92,453.681,429.771,407.121,385.661,365.332,346.074,327.832,310.551,294.182,278.677,263.99,250.078,236.9,223.852,212.085,3822.43
"1958",5066.91,5042.25,5089.82,5152.92,5155.56,5070.63,4887.89,4599.43,4256.84,3903.59,3573.53,3278.85,3023.47,2804.76,2604.28,2426.27,2265.94,2121.52,1988.27,1856.06,1740.61,1635.26,1540.53,1455.34,1377.67,1305.6,1237.82,1173.6,1112.56,1054.53,999.367,946.979,897.262,850.102,805.386,762.994,722.811,684.726,648.637,614.442,582.048,551.227,522.178,494.659,468.59,443.895,420.502,398.341,377.347,357.457,338.615,320.766,303.857,287.841,272.669,258.297,244.684,231.79,219.576,207.482,3739.47
"1959",4956.98,4800.55,4773.43,4818.39,4877.86,4878.01,4788.94,4599.58,4308.36,3971.43,3632.53,3321.75,3047.39,2810.75,2608.3,2422.57,2257.48,2108.63,1974.46,1850.59,1727.63,1620.25,1522.25,1434.11,1354.85,1282.56,1215.49,1152.41,1092.63,1035.81,981.788,930.44,881.67,835.386,791.481,749.85,710.384,672.973,637.515,603.915,572.079,541.919,513.223,486.177,460.556,436.284,413.292,391.512,370.879,351.332,332.814,315.271,298.652,282.909,267.997,253.871,240.49,227.816,215.81,204.438,3674.85
"1960",5062.49,4696.4,4546.08,4520.36,4562.79,4617.79,4612.97,4519.03,4328.66,4045.01,3723.06,3403.18,3111.75,2855.16,2633.97,2444.67,2270.88,2116.32,1976.91,1851.2,1735.13,1619.89,1519.24,1427.38,1344.75,1270.44,1202.67,1139.79,1080.64,1024.59,971.318,920.661,872.513,826.781,783.38,742.21,703.172,666.163,631.081,597.832,566.324,536.469,508.187,481.278,455.915,431.889,409.128,387.567,367.143,347.794,329.464,312.099,295.647,280.063,265.3,251.316,238.069,225.521,213.636,202.378,3637.83
"1961",5424.78,4796.37,4445.64,4303.27,4278.67,4316.52,4359.76,4337.69,4227.84,4031.69,3756.79,3453.59,3156.35,2886.87,2649.81,2445.31,2270.12,2109.11,1965.81,1836.47,1719.8,1612.05,1505.06,1411.59,1326.28,1249.54,1180.52,1117.56,1059.14,1004.19,952.112,902.614,855.545,810.807,768.312,727.983,689.726,653.45,619.059,586.459,555.561,526.282,498.539,472.256,447.25,423.681,401.354,380.202,360.166,341.186,323.205,306.171,290.033,274.745,260.263,246.543,233.548,221.238,209.577,198.532,3568.71
"1962",5783.66,5139.61,4538.61,4206.63,4071.57,4045.22,4069.36,4086.62,4036.63,3909.4,3712.88,3453.72,3174.24,2902.21,2655.85,2438.87,2251.45,2090.67,1942.73,1810.96,1691.96,1584.59,1485.41,1386.9,1300.83,1222.25,1151.56,1087.97,1029.97,976.149,925.513,877.524,831.911,788.535,747.305,708.142,670.974,635.715,602.281,570.585,540.539,512.061,485.075,459.504,435.28,412.232,390.509,369.93,350.435,331.967,314.473,297.901,282.2,267.326,253.235,239.886,227.241,215.263,203.917,193.169,3472.3
"1963",5419.33,5479.62,4861.27,4292.68,3978.23,3846.54,3806.85,3799.85,3778.57,3700,3563.49,3376.33,3139.66,2887.19,2641.68,2418.96,2222.4,2052.31,1906.22,1771.64,1651.67,1543.29,1445.49,1355.12,1265.32,1186.86,1115.21,1050.74,992.744,939.841,890.74,844.547,800.766,759.15,719.573,681.953,646.219,612.304,580.13,549.622,520.698,493.28,467.293,442.667,419.333,397.227,376.194,356.37,337.59,319.8,302.947,286.982,271.858,257.531,243.957,231.097,218.916,207.376,196.445,186.091,3345.05
"1964",4595.31,5134.44,5179.64,4594.94,4056.86,3754.38,3610.81,3535.44,3481.27,3420.26,3323.34,3190.15,3021.25,2811.64,2588.17,2370.17,2171.78,1996.26,1844.1,1713.24,1592.55,1484.91,1387.66,1299.86,1218.69,1138.01,1067.5,1003.1,945.144,893.002,845.433,801.281,759.739,720.363,682.934,647.336,613.498,581.355,550.847,521.905,494.46,468.441,443.776,420.398,398.244,377.252,357.365,338.443,320.609,303.714,287.709,272.547,258.185,244.579,231.689,219.477,207.908,196.949,186.567,176.733,3176.81
"1965",4051.49,4353.75,4852.12,4894.6,4341.31,3826.92,3520.69,3345.92,3226.84,3134.93,3053.51,2956.03,2836.16,2688.32,2504.64,2307.83,2115.01,1939.02,1782.98,1647.52,1530.89,1423.27,1327.27,1240.49,1162.1,1089.62,1017.54,954.538,896.988,845.193,798.585,756.063,716.59,679.449,644.243,610.775,578.944,548.685,519.94,492.658,466.775,442.232,418.962,396.903,375.995,356.182,337.407,319.621,302.698,286.748,271.637,257.323,243.763,230.917,218.748,207.22,196.298,185.951,176.149,166.864,2999.37
